player_id,Name,team_id,team_name,Team,PA,AVG,OBP,SLG,OPS,SO,BB,K%,BB%
669194,Ryne Nelson,109,Arizona Diamondbacks,,1,1.0,1.0,1.0,2.0,0,0,0.0,0.0
676551,Brewer Hicklen,116,Detroit Tigers,,4,0.667,0.75,0.667,1.417,1,1,25.0,25.0
702358,Trey Lipscomb,120,Washington Nationals,,4,0.5,0.5,0.5,1.0,1,0,25.0,0.0
542963,Rob Brantly,146,Miami Marlins,,7,0.429,0.429,0.429,0.858,1,0,14.285714285714285,0.0
682634,Kevin Alcántara,112,Chicago Cubs,,12,0.364,0.417,0.364,0.781,4,1,33.33333333333333,8.333333333333332
621512,Tomás Nido,116,Detroit Tigers,,37,0.343,0.361,0.343,0.704,10,0,27.027027027027028,0.0
669369,Bryce Johnson,135,San Diego Padres,,84,0.342,0.383,0.434,0.817,19,3,22.61904761904762,3.571428571428571
695257,Billy Cook,134,Pittsburgh Pirates,,6,0.333,0.333,0.333,0.666,1,0,16.666666666666664,0.0
676356,Jonny DeLuca,139,Tampa Bay Rays,,59,0.333,0.356,0.456,0.812,13,2,22.033898305084744,3.389830508474576
690984,Petey Halpin,114,Cleveland Guardians,,8,0.333,0.5,0.333,0.833,2,2,25.0,25.0
694388,Joey Loperfido,141,Toronto Blue Jays,,104,0.333,0.379,0.5,0.879,27,4,25.961538461538463,3.8461538461538463
680700,Richie Palacios,139,Tampa Bay Rays,,48,0.333,0.396,0.452,0.848,9,5,18.75,10.416666666666668
592450,Aaron Judge,147,New York Yankees,,679,0.331,0.457,0.688,1.145,160,124,23.5640648011782,18.262150220913107
609280,Miguel Andujar,113,Cincinnati Reds,,341,0.318,0.352,0.47,0.822,49,17,14.369501466275661,4.9853372434017595
666018,Jonathan Aranda,139,Tampa Bay Rays,,422,0.316,0.393,0.489,0.882,107,41,25.355450236966824,9.715639810426541
622534,Manuel Margot,116,Detroit Tigers,,20,0.316,0.3,0.316,0.616,6,0,30.0,0.0
666182,Bo Bichette,141,Toronto Blue Jays,,628,0.311,0.357,0.483,0.84,91,40,14.490445859872612,6.369426751592357
805779,Jacob Wilson,133,Athletics,,523,0.311,0.355,0.444,0.799,39,27,7.45697896749522,5.162523900573614
543807,George Springer,141,Toronto Blue Jays,,586,0.309,0.399,0.56,0.959,111,69,18.941979522184297,11.774744027303754
666126,Carlos Cortes,133,Athletics,,99,0.309,0.323,0.543,0.866,20,3,20.2020202020202,3.0303030303030303
686452,Drew Millas,120,Washington Nationals,,55,0.306,0.358,0.449,0.807,7,4,12.727272727272727,7.2727272727272725
663853,Romy Gonzalez,111,Boston Red Sox,,341,0.305,0.343,0.483,0.826,81,18,23.75366568914956,5.278592375366569
665161,Jeremy Peña,117,Houston Astros,,543,0.304,0.363,0.477,0.84,93,35,17.12707182320442,6.445672191528545
607208,Trea Turner,143,Philadelphia Phillies,,639,0.304,0.355,0.457,0.812,107,43,16.74491392801252,6.729264475743349
807712,Luke Keaschall,142,Minnesota Twins,,207,0.302,0.382,0.445,0.827,29,19,14.009661835748794,9.178743961352657
686527,Dominic Canzone,136,Seattle Mariners,,269,0.3,0.358,0.481,0.839,59,20,21.933085501858738,7.434944237918216
650490,Yandy Díaz,139,Tampa Bay Rays,,651,0.3,0.366,0.482,0.848,92,57,14.132104454685098,8.755760368663594
695600,Carter Jensen,118,Kansas City Royals,,69,0.3,0.391,0.55,0.941,12,9,17.391304347826086,13.043478260869565
695734,Daylen Lile,120,Washington Nationals,,351,0.299,0.347,0.498,0.845,56,21,15.954415954415953,5.982905982905983
694208,Moisés Ballesteros,112,Chicago Cubs,,66,0.298,0.394,0.474,0.868,12,9,18.181818181818183,13.636363636363635
663538,Nico Hoerner,112,Chicago Cubs,,649,0.297,0.345,0.394,0.739,49,39,7.550077041602465,6.00924499229584
681987,Nate Eaton,111,Boston Red Sox,,90,0.296,0.348,0.383,0.731,19,6,21.11111111111111,6.666666666666667
663968,Jake Mangum,139,Tampa Bay Rays,,428,0.296,0.33,0.368,0.698,64,19,14.953271028037381,4.439252336448598
669257,Will Smith,119,Los Angeles Dodgers,,436,0.296,0.404,0.497,0.901,89,64,20.412844036697248,14.678899082568808
677951,Bobby Witt Jr.,118,Kansas City Royals,,687,0.295,0.351,0.501,0.852,125,49,18.19505094614265,7.132459970887918
518692,Freddie Freeman,119,Los Angeles Dodgers,,627,0.295,0.367,0.502,0.869,128,60,20.414673046251995,9.569377990430622
802415,Chandler Simpson,139,Tampa Bay Rays,,441,0.295,0.326,0.345,0.671,43,20,9.750566893424036,4.535147392290249
647304,Josh Naylor,136,Seattle Mariners,,604,0.295,0.353,0.462,0.815,83,48,13.741721854304636,7.9470198675496695
665489,Vladimir Guerrero Jr.,141,Toronto Blue Jays,,680,0.292,0.381,0.467,0.848,94,81,13.823529411764707,11.911764705882351
650333,Luis Arraez,135,San Diego Padres,,675,0.292,0.327,0.392,0.719,21,34,3.111111111111111,5.037037037037037
