player_id,Name,team_id,team_name,Team,PA,AVG,OBP,SLG,OPS,SO,BB,K%,BB%
691023,Jordan Walker,138,St. Louis Cardinals,,256,0.297,0.359,0.547,0.906,66,21,25.78125,8.203125
642350,Jose Siri,108,Los Angeles Angels,,28,0.296,0.321,0.63,0.951,9,1,32.142857142857146,3.571428571428571
665489,Vladimir Guerrero Jr.,141,Toronto Blue Jays,,262,0.296,0.385,0.386,0.771,25,31,9.541984732824428,11.83206106870229
660271,Shohei Ohtani,119,Los Angeles Dodgers,,274,0.296,0.414,0.511,0.925,62,42,22.62773722627737,15.328467153284672
680777,Ryan Jeffers,142,Minnesota Twins,,148,0.295,0.408,0.541,0.949,23,23,15.54054054054054,15.54054054054054
694192,Jackson Chourio,158,Milwaukee Brewers,,123,0.295,0.358,0.482,0.84,33,11,26.82926829268293,8.94308943089431
663604,Brandon Lockridge,158,Milwaukee Brewers,,96,0.294,0.368,0.341,0.709,25,10,26.041666666666668,10.416666666666668
805811,Bryce Eldridge,137,San Francisco Giants,,86,0.293,0.372,0.467,0.839,20,10,23.25581395348837,11.627906976744185
656811,Ryan O'Hearn,134,Pittsburgh Pirates,,198,0.293,0.369,0.483,0.852,39,20,19.696969696969695,10.1010101010101
682818,Yohendrick Piñango,141,Toronto Blue Jays,,104,0.293,0.327,0.424,0.751,24,5,23.076923076923077,4.807692307692308
669477,Casey Schmitt,137,San Francisco Giants,,237,0.293,0.325,0.559,0.884,47,7,19.831223628691983,2.9535864978902953
805779,Jacob Wilson,133,Athletics,,168,0.292,0.311,0.398,0.709,20,5,11.904761904761903,2.976190476190476
682928,CJ Abrams,120,Washington Nationals,,271,0.291,0.387,0.535,0.922,54,29,19.92619926199262,10.70110701107011
676475,Alec Burleson,138,St. Louis Cardinals,,261,0.291,0.356,0.457,0.813,41,23,15.708812260536398,8.812260536398467
650391,Eloy Jiménez,141,Toronto Blue Jays,,35,0.29,0.343,0.29,0.633,7,3,20.0,8.571428571428571
814439,Ryan Waldschmidt,109,Arizona Diamondbacks,,98,0.289,0.34,0.378,0.718,32,7,32.6530612244898,7.142857142857142
608348,Carson Kelly,112,Chicago Cubs,,167,0.289,0.365,0.369,0.734,29,15,17.365269461077844,8.982035928143713
669134,Luis Campusano,135,San Diego Padres,,58,0.288,0.362,0.596,0.958,15,5,25.862068965517242,8.620689655172415
671976,Tristan Peters,145,Chicago White Sox,,174,0.288,0.347,0.41,0.757,33,12,18.96551724137931,6.896551724137931
682998,Corbin Carroll,109,Arizona Diamondbacks,,256,0.288,0.375,0.55,0.925,56,30,21.875,11.71875
683953,Travis Bazzana,114,Cleveland Guardians,,143,0.288,0.371,0.472,0.843,27,15,18.88111888111888,10.48951048951049
691406,Junior Caminero,139,Tampa Bay Rays,,265,0.288,0.389,0.518,0.907,39,38,14.716981132075471,14.339622641509434
805808,Kevin McGonigle,116,Detroit Tigers,,268,0.287,0.388,0.409,0.797,35,36,13.059701492537313,13.432835820895523
650402,Gleyber Torres,116,Detroit Tigers,,158,0.287,0.405,0.388,0.793,23,26,14.556962025316455,16.455696202531644
665742,Juan Soto,121,New York Mets,,197,0.287,0.372,0.55,0.922,29,24,14.720812182741117,12.18274111675127
803011,Sam Antonacci,145,Chicago White Sox,,181,0.286,0.38,0.383,0.763,26,11,14.3646408839779,6.077348066298343
668709,JJ Bleday,113,Cincinnati Reds,,146,0.286,0.377,0.603,0.98,30,19,20.54794520547945,13.013698630136986
691277,Deyvison De Los Santos,146,Miami Marlins,,7,0.286,0.286,0.429,0.715,3,0,42.857142857142854,0.0
571657,Kyle Farmer,144,Atlanta Braves,,15,0.286,0.267,0.357,0.624,4,0,26.666666666666668,0.0
664731,P.J. Higgins,113,Cincinnati Reds,,26,0.286,0.333,0.333,0.666,8,2,30.76923076923077,7.6923076923076925
663968,Jake Mangum,134,Pittsburgh Pirates,,127,0.286,0.347,0.339,0.686,24,9,18.89763779527559,7.086614173228346
664983,Jake McCarthy,115,Colorado Rockies,,179,0.286,0.33,0.466,0.796,35,11,19.553072625698324,6.145251396648044
663624,Ryan Mountcastle,110,Baltimore Orioles,,15,0.286,0.333,0.357,0.69,2,1,13.333333333333334,6.666666666666667
669899,Ryan Ward,119,Los Angeles Dodgers,,15,0.286,0.333,0.571,0.904,3,1,20.0,6.666666666666667
686894,Joey Wiemer,120,Washington Nationals,,83,0.286,0.398,0.514,0.912,29,12,34.93975903614458,14.457831325301203
681624,Andy Pages,119,Los Angeles Dodgers,,265,0.285,0.332,0.517,0.849,50,17,18.867924528301888,6.415094339622642
664034,Ty France,135,San Diego Padres,,124,0.284,0.325,0.517,0.842,28,6,22.58064516129032,4.838709677419355
669127,Shea Langeliers,133,Athletics,,258,0.284,0.353,0.547,0.9,47,21,18.217054263565892,8.13953488372093
677649,Ezequiel Duran,140,Texas Rangers,,195,0.284,0.34,0.449,0.789,46,16,23.589743589743588,8.205128205128204
668723,Ryan Vilade,139,Tampa Bay Rays,,101,0.284,0.35,0.455,0.805,19,10,18.81188118811881,9.900990099009901
694362,Blake Dunn,113,Cincinnati Reds,,87,0.284,0.333,0.42,0.753,20,5,22.988505747126435,5.747126436781609
545121,Ildemaro Vargas,109,Arizona Diamondbacks,,225,0.283,0.314,0.443,0.757,21,8,9.333333333333334,3.5555555555555554
677800,Wilyer Abreu,111,Boston Red Sox,,264,0.283,0.346,0.43,0.776,50,24,18.939393939393938,9.090909090909092
678882,Ceddanne Rafaela,111,Boston Red Sox,,229,0.282,0.345,0.431,0.776,47,14,20.52401746724891,6.11353711790393
687462,Spencer Horwitz,134,Pittsburgh Pirates,,226,0.282,0.385,0.447,0.832,28,32,12.389380530973451,14.15929203539823
701762,Nick Kurtz,133,Athletics,,281,0.282,0.438,0.495,0.933,81,59,28.825622775800714,20.99644128113879
677951,Bobby Witt Jr.,118,Kansas City Royals,,285,0.282,0.358,0.464,0.822,51,30,17.894736842105264,10.526315789473683
682829,Elly De La Cruz,113,Cincinnati Reds,,257,0.28,0.346,0.509,0.855,76,22,29.571984435797667,8.560311284046692
661388,William Contreras,158,Milwaukee Brewers,,252,0.28,0.341,0.378,0.719,33,22,13.095238095238097,8.73015873015873
666160,Mickey Moniak,115,Colorado Rockies,,164,0.28,0.335,0.607,0.942,40,10,24.390243902439025,6.097560975609756
668227,Randy Arozarena,136,Seattle Mariners,,273,0.28,0.366,0.436,0.802,62,25,22.71062271062271,9.157509157509157
668930,Brice Turang,158,Milwaukee Brewers,,261,0.28,0.405,0.46,0.865,62,46,23.754789272030653,17.624521072796934
621043,Carlos Correa,117,Houston Astros,,141,0.279,0.369,0.418,0.787,26,18,18.439716312056735,12.76595744680851
677587,Brayan Rocchio,114,Cleveland Guardians,,231,0.279,0.358,0.393,0.751,29,20,12.554112554112553,8.658008658008658
660821,Jesús Sánchez,141,Toronto Blue Jays,,191,0.278,0.314,0.443,0.757,39,7,20.418848167539267,3.664921465968586
592885,Christian Yelich,158,Milwaukee Brewers,,140,0.278,0.35,0.444,0.794,40,13,28.57142857142857,9.285714285714286
641343,Jake Bauers,158,Milwaukee Brewers,,216,0.277,0.361,0.497,0.858,49,23,22.685185185185187,10.648148148148149
681198,TJ Rumfield,115,Colorado Rockies,,241,0.277,0.353,0.432,0.785,37,22,15.352697095435685,9.12863070539419
672724,Oswald Peraza,108,Los Angeles Angels,,193,0.277,0.333,0.452,0.785,46,9,23.83419689119171,4.66321243523316
671289,Tyler Freeman,115,Colorado Rockies,,162,0.277,0.354,0.376,0.73,18,8,11.11111111111111,4.938271604938271
645277,Ozzie Albies,144,Atlanta Braves,,275,0.276,0.335,0.443,0.778,32,21,11.636363636363637,7.636363636363637
606192,Teoscar Hernández,119,Los Angeles Dodgers,,204,0.276,0.348,0.436,0.784,55,19,26.96078431372549,9.313725490196079
