game,team,batter_id,batter,opposing_pitcher_id,opposing_pitcher,opposing_pitcher_hand,split,AB,PA,H,BB,SO,HR,RBI,AVG,OBP,SLG,OPS,K%,BB%,matchup_grade
San Francisco Giants @ Chicago Cubs,San Francisco Giants,664056,Harrison Bader,676962.0,Ben Brown,R,vs RHP,84,87,12,3,28,4,8,0.143,0.172,0.31,0.482,32.18390804597701,3.4482758620689653,Avoid
Cincinnati Reds @ St. Louis Cardinals,Cincinnati Reds,663993,Nathaniel Lowe,669461.0,Matthew Liberatore,L,vs LHP,16,17,0,1,5,0,0,0.0,0.059,0.0,0.059,29.411764705882355,5.88235294117647,Small Sample
Cincinnati Reds @ St. Louis Cardinals,Cincinnati Reds,666181,Will Benson,669461.0,Matthew Liberatore,L,vs LHP,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Small Sample
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,694212,Samuel Basallo,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,668939,Adley Rutschman,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,677942,Blaze Alexander,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,665750,Leody Taveras,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,621493,Taylor Ward,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,669236,Jeremiah Jackson,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,624413,Pete Alonso,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,687637,Dylan Beavers,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,681297,Colton Cowser,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,683002,Gunnar Henderson,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,691723,Coby Mayo,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Baltimore Orioles @ Toronto Blue Jays,Baltimore Orioles,641933,Tyler O'Neill,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,694192,Jackson Chourio,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,661388,William Contreras,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,668930,Brice Turang,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,592885,Christian Yelich,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,641343,Jake Bauers,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,669003,Garrett Mitchell,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,686217,Sal Frelick,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,666152,David Hamilton,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,650859,Luis Rengifo,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,596142,Gary Sánchez,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,687401,Joey Ortiz,,,,vs nanHP,0,0,0,0,0,0,0,,,,,,,No History
